metric_id,label,cockpit,section,kind,definition,source_table,timestamp_column,filter,unit,target,differs_from,weakness,status,computed_in,notes
sales.calls_scheduled,Calls Scheduled (by call date),sales,KPI,base,"Pure pre-cancellation count of calls on the closer calendar — every EOD entry in period except those marked rescheduled. Deduped on lead_id+call_date.",closer_eod_entries,call_date,"status != 'rescheduled', deduped",#,from cockpit_targets.calls_target,"marketing.leads_booked::Marketing > Leads Booked counts leads.booked=true bucketed by typeform_submitted_at (signup date). This counts EOD entries by call_date (when the call is FOR). Different stage, different timestamp column.","Requires closer to submit an EOD entry for every scheduled call. Calls scheduled for future dates within the period only count once the EOD is submitted post-call.",live,TBD,Was 'Scheduled' — renamed 2026-05-19 to make stage difference unmistakable.
sales.cancelled,Cancelled,sales,Funnel,base,"EOD entries with status=cancelled in period.",closer_eod_entries,call_date,status='cancelled',#,,,Marked by closer at EOD-fill time.,live,TBD,
sales.no_shows,No-Shows,sales,Funnel,base,"EOD entries with status=no_show in period.",closer_eod_entries,call_date,status='no_show',#,,,,live,TBD,
sales.quick_dqs,Quick DQs,sales,Funnel,base,"EOD entries with status=quick_dq in period — prospect disqualified within first few minutes.",closer_eod_entries,call_date,status='quick_dq',#,,,"DQ reason captured in dq_reason field.",live,TBD,
sales.calls_taken,Calls Taken,sales,KPI,base,"EOD entries with status=showed — actual conversations that happened.",closer_eod_entries,call_date,status='showed',#,,marketing.eod_showed::Same underlying query (deduped).,,live,TBD,
sales.closes,Closes,sales,KPI,base,"Successful sales — EOD outcome=closed UNION payment-confirmed leads (deduplicated by lead_id). Payment SoT bridges the gap when a follow-up close was paid but no EOD was submitted.",closer_eod_entries + leads,call_date + closed_at,outcome='closed' OR leads.closed=true,#,,,"Includes follow-up closes from Fanbasis/Stripe payment-confirmed leads even if no EOD was filed.",live,TBD,Per CLAUDE.md §Sales-data §1: close = money received.
sales.cash_collected,Cash Collected,sales,KPI,base,"Sum of revenue from EOD-closed calls + payment-confirmed leads. Live Stripe API not the stripe_payments backfill table.",closer_eod_entries + leads + stripe,call_date + closed_at,outcome='closed',$,from cockpit_targets.cash_target_realistic (default 100000),,"Per CLAUDE.md §Sales-data §4: LB90 product excluded by description regex (not metadata.altId — altId is shared across all GHL products).",live,TBD,
sales.cash_contracted,Cash Contracted,sales,KPI,base,"Sum of contracted value (full deal size pre-payment-plan) from EOD-closed calls + payment-confirmed leads.",closer_eod_entries + leads,call_date + closed_at,outcome='closed',$,from cockpit_targets.contracted_target (default 160000),,"Per CLAUDE.md §Sales-data §3: totalCashContracted is a non-number — never compute or show it. Use this contracted field only.",live,TBD,
sales.net_show_rate,Net Show Rate,sales,KPI,derived,"Calls taken divided by callable (scheduled minus cancelled).",NULL,NULL,sales.calls_taken / (sales.calls_scheduled - sales.cancelled),%,from cockpit_targets.show_rate_target (default 70),,"Cancellations reduce denominator — high cancel volume can artificially inflate net show rate.",live,TBD,
sales.close_rate,Close Rate,sales,KPI,derived,"Closes divided by calls taken. Includes follow-up closes from payment confirmation.",NULL,NULL,sales.closes / sales.calls_taken,%,from cockpit_targets.cr_target (default 30),,,live,TBD,
sales.cancel_rate,Cancel Rate,sales,KPI,derived,"Cancellations divided by scheduled.",NULL,NULL,sales.cancelled / sales.calls_scheduled,%,N/A,,,live,TBD,
sales.per_closer_breakdown,Per-Closer Breakdown,sales,Breakdown,view,"Scheduled / showed / closes / close_rate / cash / contracted grouped by closer_name. Sorted by closes desc then cash desc.",closer_eod_entries,call_date,GROUP BY closer_name,N/A,N/A,,"Closer-name string-matched — variants (case, spacing) split rows. normalizeCloserName() handles space/apostrophe in payment-confirmed merge.",live,TBD,
sales.yesterday_snapshot,Yesterday Snapshot,sales,Comparison,view,"Yesterday's scheduled / taken / cash — surfaces day-over-day movement on the cockpit header.",closer_eod_entries,call_date,call_date = yesterday,N/A,N/A,,,live,TBD,
sales.last_month_card,Last Month Card,sales,Comparison,view,"Prior-period actuals — scheduled / taken / cash / contracted / nsr / cr. Comparison toggle on pacing rows.",closer_eod_entries + leads,call_date + closed_at,prior month,N/A,N/A,,,live,TBD,
sales.three_month_avg_card,3-Month Avg Card,sales,Comparison,view,"Trailing 3-month average of scheduled / taken / cash / contracted / rates.",closer_eod_entries + leads,call_date + closed_at,prior 3 months,N/A,N/A,,"If a month has zero data (e.g. team change) average is biased.",live,TBD,
sales.missing_eod_alerts,Missing EOD Alerts,sales,Operational,view,"Closes from payment confirmation that have NO matching EOD entry — flags closers who closed but forgot to file EOD.",leads + closer_eod_entries,closed_at,closed=true AND no matching EOD lead_id,N/A,N/A,,,live,TBD,
